Area,Base Constraint,Length,Structural Usage,Unconnected Height,Volume,Assembly Code,Width
50.58207537,PLAN 04,15905.00008,1,4533,29.24713149,211,540
45.28383,PLAN 04,14910,1,4533,26.2813205,211,540
58.08265537,PLAN 04,15905.00008,1,4533,31.91139356,211,540
97.29349,PLAN 05,26490,1,4533,52.19225851,211,540
101.0298492,PLAN 05,29799.99982,1,4533,54.1412732,211,540
76.26876907,PLAN 05,21109.99979,1,4533,40.98969586,211,540
82.87826,PLAN 05,24440,1,3863,39.64484438,211,540
107.6084192,PLAN 06,29799.99982,1,4533,57.73842541,211,540
117.7773492,PLAN 06,29799.99982,1,4533,63.44142288,211,540
5.843633997,PLAN 07,11152,1,544,3.154434659,211,540
84.48570916,PLAN 07,22899.99982,1,4533,45.36795508,211,540
117.6219992,PLAN 07,29799.99982,1,4533,63.43090995,211,540
94.98775,PLAN 07,26490,1,4533,51.07439159,211,540
117.83709,PLAN 08,26490,1,4533,63.5723755,211,540
122.4666492,PLAN 08,29799.99982,1,4533,66.04508391,211,540
119.2287992,PLAN 08,29799.99982,1,4533,64.27923385,211,540
105.22064,PLAN 09,26490,1,4533,56.59293182,211,540
107.4026792,PLAN 09,29799.99982,1,4533,57.66375816,211,540
116.3258992,PLAN 09,29799.99982,1,4533,62.68907511,211,540
101.32167,PLAN 09,26490,1,4533,54.47537965,211,540
95.40139,PLAN 10,26490,1,4463,51.18566523,211,540
111.8952492,PLAN 10,29799.99982,1,4463,60.28886354,211,540
92.09847,PLAN 10,26490,1,4463,49.39115809,211,540
88.7508,PLAN 11,26490,1,4250,47.58308946,211,540
91.70324921,PLAN 11,29799.99982,1,4250,49.07815484,211,540
92.59644921,PLAN 11,29799.99982,1,4250,49.77826139,211,540
80.92355,PLAN 11,26490,1,4250,43.31570525,211,540
92.34125,PLAN 13,26490,1,4230,49.56624674,211,540
94.34509922,PLAN 13,29799.99982,1,4230,50.56183152,211,540
95.23829922,PLAN 13,29799.99982,1,4230,51.24764718,211,540
53.5092,PLAN 13,26490,1,4230,28.72282406,211,540
76.3703,PLAN 14,26490,1,4080,40.86554217,211,540
78.4899993,PLAN 14,29799.99982,1,4080,44.72082244,211,540
78.6843993,PLAN 14,29799.99982,1,4080,44.98722949,211,540
65.17385,PLAN 14,26490,1,4080,37.31109767,211,540
120.4067201,PLAN 01 Teknik,21940.00001,1,5488,65.01962883,211,540
37.51383857,PLAN 01,7009.999723,1,5153,20.25515398,211,540
37.4939,PLAN 01,10050,1,4918,20.1594577,211,540
17.62020093,PLAN 01,4170.000205,1,4518,9.51264476,211,540
132.4171504,PLAN 01,27195.00007,1,4918,71.49281299,211,540
100.7316,PLAN 01 Teknik,16200,1,6218,54.3873924,211,540
44.99805005,PLAN 01 Teknik,9120.000006,1,6218,24.29503353,211,540
135.3344,PLAN 01 Dyrestald,28800,1,5468,72.911047,211,540
36.27000005,PLAN 01 Dyrestald,7200.000009,1,5468,19.56174263,211,540
160.7478,PLAN 01 Dyrestald,37620,1,5508,86.44834033,211,540
51.94980005,PLAN 01 Dyrestald,10850.00001,1,4788,28.05289202,211,540
26.83632,PLAN 01 Teknik,4350,1,5488,14.4916128,211,540
61.683,PLAN 01 Dyrestald,14010,1,5468,33.157988,211,540
66.39468,PLAN 01 Dyrestald,14010,1,5468,35.8062623,211,540
67.41588,PLAN 01 Dyrestald,14010,1,5468,36.3026734,211,540
62.39886,PLAN 01 Dyrestald,14010,1,5618,33.5832403,211,540
86.75875,PLAN 12,26490,1,4230,46.49912802,211,540
89.65579922,PLAN 12,29799.99982,1,4230,47.98041484,211,540
86.41794922,PLAN 12,29799.99982,1,4230,46.42412132,211,540
82.19095,PLAN 12,26490,1,4230,44.02778921,211,540
91.60812,PLAN 06,26490,1,4533,49.09834668,211,540
61.37216402,PLAN 07,21245.00001,1,4533,33.0090263,211,540
0.27575,PLAN 07,5244.999991,1,50,0.14889,211,540
3.85029,PLAN 07,6900,1,537,2.07875385,211,540
107.1408792,PLAN 10,29799.99982,1,4463,57.53867371,211,540
18.921,TAG,26960,1,700,1.320830008,211,70
21.18899987,TAG,30269.99982,1,700,1.479169991,211,70
18.872,TAG,26960,1,700,1.31544,211,70
21.13999987,TAG,30269.99982,1,700,1.473499994,211,70
8.748,PLAN 03,16165,1,540,0.6102,211,70
20.87639999,PLAN 03,38659.99999,1,540,1.455894,211,70
15.5142,PLAN 03,28765,1,540,1.080378,211,70
8.2836,PLAN 03,15305,1,540,0.57753,211,70
8.32140001,PLAN 03,15445.00002,1,540,0.580500001,211,70
4.5825,PLAN 03,7015,1,650,0.320775,211,70
11.804,PLAN 03,18160,1,650,0.8255,211,70
30.55242,PLAN 02,7010,1,4533,16.29645883,211,540
22.594,PLAN 05,34760,1,650,1.57547,211,70
22.18450012,PLAN 05,34165.00018,1,650,1.546610008,211,70
28.05400013,PLAN 05,43160.00021,1,650,1.95689001,211,70
6.5325,PLAN 05,10015,1,650,0.4563,211,70
9.997000297,PLAN 05,15345.00046,1,650,0.696605021,211,70
9.386,PLAN 05,14440,1,650,0.654225,211,70
9.951500297,PLAN 05,15345.00046,1,650,0.695045021,211,70
28.08000001,PLAN 04,43165.00001,1,650,1.958255,211,70
