,FireRating,Area,Structural,Unconnected_Height,Volume,Width
1704,3,0.8725425767301193,0.0,0.542713567839196,0.8496890421956298,0.5778894472361809
2663,3,0.5664276640451318,0.0,0.3693467336683417,0.5917981881403568,0.5778894472361809
376,3,0.7661214874506018,0.0,0.8115577889447236,0.7647402174389036,0.5778894472361809
271,5,0.9405206245925453,1.0,0.8115577889447236,0.9576971145169154,1.0
2380,3,0.462222643311627,0.0,0.44472361809045224,0.509671258462102,0.5778894472361809
2572,3,0.6728629863624019,0.0,0.8115577889447236,0.6795991885547323,0.5778894472361809
1839,3,0.12060302556330729,0.0,0.16080402010050251,0.23115578570953896,0.5778894472361809
851,5,0.9783180451004215,1.0,0.635678391959799,0.9849581624312558,1.0
687,5,0.9198692638296735,1.0,0.8115577889447236,0.9307500574989634,0.9221105527638191
2797,2,0.045006625248153076,0.0,0.6783919597989949,0.12135794026261199,0.31658291457286436
3715,2,0.3916597375252879,0.0,0.11055276381909548,0.37106677033368224,0.2512562814070352
3018,5,0.6387700336931785,0.0,0.4135915629650398,0.7747856634986336,0.8919597989949748
1609,3,0.19414916406470528,0.0,0.8115577889447236,0.1973484569289351,0.5778894472361809
3539,0,0.6255271094713978,0.0,0.41959798994974873,0.6605155491658331,0.8090452261306533
3143,3,0.008403610194955342,0.0,0.31658291457286436,0.058796993787491265,0.5778894472361809
48,3,0.8013941589948866,0.0,0.542713567839196,0.7985943437534411,0.5778894472361809
2153,5,0.7487437185929648,0.0,0.542713567839196,0.6609126190231506,0.28391959798994976
3981,2,0.25128561402290533,0.0,0.2046187181496757,0.26125875957150063,0.2512562814070352
828,3,0.06487025422909655,0.0,0.44472361809045224,0.16328956199488745,0.3592964824120603
379,3,0.8708590595293425,0.0,0.8115577889447236,0.8508357512321164,0.5778894472361809
641,3,0.8261884185507818,0.0,0.44472361809045224,0.7918202246082976,0.3592964824120603
3723,2,0.2904496630126986,0.0,0.2046187181496757,0.2875010873933301,0.2512562814070352
1788,0,0.8005253127725065,0.0,0.1838295957398935,0.7314249984194843,0.29185667614777
1047,3,0.6266492270542227,0.0,0.8115577889447236,0.6391112015595906,0.5778894472361809
891,3,0.0540779652900473,0.0,0.4120603015075377,0.15925510201555587,0.5778894472361809
3978,5,0.04530112867990952,0.0,0.0814070351758794,0.008366862136021395,0.0
