Area,Structural,Type,Unconnected_Height,Volume,Assembly_Code,Width,AcousticRating,FireRating
5.1878575,0,222.002_Gipsskillevæg_145 mm,3983,0.616319223,224,145,44 dB,"EI 60 A2-s1,d0"
12.223515,0,222.002_Gipsskillevæg_145 mm,3983,1.490512854,224,145,44 dB,"EI 60 A2-s1,d0"
1.231250205,0,222.300_Glassystemvæg_20 mm,2500,0.024625004,226,20,,
61.2375,0,222.300_Glassystemvæg_20 mm,2500,1.22475,226,20,,
17.24639,0,222.002_Gipsskillevæg_145 mm,4533,2.50072655,224,145,44 dB,"EI 60 A2-s1,d0"
16.3519406,0,222.002_Gipsskillevæg_145 mm,4533,2.371031388,224,145,44 dB,"EI 60 A2-s1,d0"
16.3519406,0,222.002_Gipsskillevæg_145 mm,4533,2.371031388,224,145,44 dB,"EI 60 A2-s1,d0"
16.3519406,0,222.002_Gipsskillevæg_145 mm,4533,2.371031388,224,145,44 dB,"EI 60 A2-s1,d0"
16.352109,0,222.002_Gipsskillevæg_145 mm,4533,2.371055805,224,145,44 dB,"EI 60 A2-s1,d0"
16.3519406,0,222.002_Gipsskillevæg_145 mm,4533,2.371031388,224,145,44 dB,"EI 60 A2-s1,d0"
16.3519406,0,222.002_Gipsskillevæg_145 mm,4533,2.371031388,224,145,44 dB,"EI 60 A2-s1,d0"
16.3519406,0,222.002_Gipsskillevæg_145 mm,4533,2.371031388,224,145,44 dB,"EI 60 A2-s1,d0"
16.3519406,0,222.002_Gipsskillevæg_145 mm,4533,2.371031388,224,145,44 dB,"EI 60 A2-s1,d0"
25.92624,1,KON_Væg Indervæg_Beton_200 mm,4533,5.185248,221,200,,
4.85,0,222.300_Glassystemvæg_20 mm,2500,0.097,226,20,,
6.066666667,0,222.300_Glassystemvæg_20 mm,2500,0.121333333,226,20,,
3.321115,0,222.002_Gipsskillevæg_145 mm,4533,0.481561675,224,145,44 dB,"EI 60 A2-s1,d0"
10.853675,0,222.110_Forsatsvæg_135 mm,4533,1.438111938,224,132.5,36 dB,"EI 60 A2-s1,d0"
20.39296,0,222.001_Gipsskillevæg_145 mm,4533,2.7980575,224,145,48 dB,"EI 60 A2-s1,d0"
5.6317275,0,222.110_Forsatsvæg_135 mm,3973,0.746203894,224,132.5,36 dB,"EI 60 A2-s1,d0"
20.027925,0,222.002_Gipsskillevæg_145 mm,4533,2.904049125,224,145,44 dB,"EI 60 A2-s1,d0"
19.815425,0,222.002_Gipsskillevæg_145 mm,4533,2.873236625,224,145,44 dB,"EI 60 A2-s1,d0"
20.027925,0,222.002_Gipsskillevæg_145 mm,4533,2.904049125,224,145,44 dB,"EI 60 A2-s1,d0"
20.39296,0,222.002_Gipsskillevæg_145 mm,4533,2.9569792,224,145,44 dB,"EI 60 A2-s1,d0"
19.815425,0,222.002_Gipsskillevæg_145 mm,4533,2.873236625,224,145,44 dB,"EI 60 A2-s1,d0"
5.787861184,0,222.300_Glassystemvæg_20 mm,2500,0.115757224,226,20,,
22.021234,0,222.001_Gipsskillevæg_145 mm,4533,3.19307893,224,145,48 dB,"EI 60 A2-s1,d0"
21.727534,0,222.001_Gipsskillevæg_145 mm,4533,3.15049243,224,145,48 dB,"EI 60 A2-s1,d0"
7.5625,0,222.300_Glassystemvæg_20 mm,2500,0.15125,226,20,,
23.718765,0,222.001_Gipsskillevæg_145 mm,4533,3.439220925,224,145,48 dB,"EI 60 A2-s1,d0"
11.86934,0,222.003_Gipsskillevæg_170 mm,3983,2.0177878,224,170,48 dB,"EI 60 A2-s1,d0"
12.78543,0,222.002_Gipsskillevæg_145 mm,4533,1.85388735,224,145,44 dB,"EI 60 A2-s1,d0"
11.2658,0,222.006_Gipsskillevæg_95 mm,4333,1.070251,224,95,32 dB,"EI 60 A2-s1,d0"
11.2658,0,222.006_Gipsskillevæg_95 mm,4333,1.070251,224,95,32 dB,"EI 60 A2-s1,d0"
